user_id,company_name,company_size,plan_type,subscription_status,signup_date,churn_date,monthly_revenue,payment_method
191,Flores-Blankenship,large,Pro,Churned,11-02-2012,09-09-2015,1288,Paypal
1961,Robertson Ltd,medium,Enterprise,Churned,22-12-2021,14-05-2025,3741,Paypal
8766,Lee-Young,medium,Basic,Active,27-06-2017,,4334,Credit
9336,"Bell, Harmon and Esparza",large,Enterprise,Churned,23-12-2010,01-10-2020,4420,Credit
5050,Smith-Wood,large,Basic,Churned,08-12-2019,12-03-2020,2093,Credit
1011,"Brown, Hall and Martinez",large,Basic,Active,01-11-2018,,1509,Credit
4644,Nunez Inc,small,Pro,Active,20-03-2022,,2368,Credit
3981,Jones-Fischer,medium,Enterprise,Active,10-07-2018,,214,Paypal
223,Schneider-Gibson,medium,Pro,Churned,28-01-2023,07-03-2025,399,Debit
7705,Chavez PLC,large,Enterprise,Churned,04-03-2017,21-11-2017,3470,Paypal
1817,Chapman-Munoz,medium,Enterprise,Churned,24-07-2021,20-07-2022,1356,Paypal
3115,Diaz-Mahoney,small,Pro,Churned,27-12-2006,31-08-2010,288,Debit
3431,Coleman PLC,small,Pro,Active,10-03-2023,,2352,Debit
3335,Guzman-Johnson,medium,Enterprise,Active,25-07-2010,,3333,Debit
9901,"Young, Rodriguez and Waters",medium,Basic,Churned,27-02-2010,16-11-2018,491,Debit
643,Higgins-Clark,large,Enterprise,Churned,19-01-2016,11-05-2016,334,Paypal
5097,"Clark, Chavez and Dennis",medium,Enterprise,Churned,11-11-2013,28-02-2017,4188,Paypal
6629,"Collins, Nichols and Carpenter",large,Pro,Churned,08-09-2014,23-05-2025,3669,Debit
3732,"Berg, Hall and Evans",large,Enterprise,Churned,11-04-2010,01-05-2014,524,Debit
2907,Bryant PLC,small,Basic,Churned,25-12-2022,05-02-2025,4191,Credit
4592,Lewis-Johns,large,Enterprise,Active,14-04-2014,,3146,Credit
837,"Baker, Wallace and Brown",small,Pro,Active,05-05-2020,,4536,Debit
9215,"Phillips, Davis and Guzman",large,Basic,Churned,07-05-2016,20-09-2025,789,Debit
3952,Torres and Sons,small,Pro,Churned,16-04-2022,17-01-2025,4730,Credit
5625,"Shepherd, Mills and Johnson",small,Enterprise,Active,17-01-2022,,1148,Credit
3998,Preston-Hale,large,Enterprise,Churned,07-11-2007,05-02-2020,3461,Credit
6806,Shaw-Kemp,small,Pro,Active,24-09-2016,,121,Credit
2198,"Mosley, Lee and Wilson",medium,Basic,Active,27-03-2014,,4501,Paypal
3145,Lutz-Cooper,small,Basic,Active,15-11-2022,,3599,Debit
2566,Williams and Sons,small,Basic,Churned,20-03-2006,10-08-2019,3037,Debit
8859,Meyers-Casey,large,Enterprise,Active,30-01-2020,,2070,Paypal
1846,Foster-Hayes,large,Enterprise,Active,19-06-2015,,1094,Paypal
9623,"Thompson, Cunningham and Miller",small,Pro,Churned,09-11-2013,01-06-2024,3985,Credit
8618,"Doyle, Miller and Zhang",medium,Basic,Active,02-07-2012,,1581,Debit
4656,Salinas-Potts,medium,Enterprise,Churned,05-04-2021,03-08-2023,3601,Paypal
8706,"Mcguire, Cook and Williams",large,Pro,Active,02-02-2023,,2593,Credit
1284,Williams-Sexton,large,Enterprise,Churned,10-06-2018,26-09-2018,4524,Debit
942,Rich PLC,large,Basic,Churned,03-09-2020,11-06-2021,4240,Debit
9573,Levine Group,medium,Pro,Active,30-07-2008,,554,Credit
7659,Gonzalez-Allen,small,Pro,Churned,07-03-2021,23-08-2022,2171,Credit
4192,Barnes Inc,medium,Pro,Churned,20-11-2014,12-04-2015,4117,Paypal
7494,Collins-Wilson,small,Pro,Churned,14-09-2015,16-01-2025,1078,Credit
9087,Alvarado and Sons,small,Enterprise,Active,25-02-2016,,4931,Debit
2738,Carter-Todd,large,Pro,Churned,19-08-2016,11-10-2024,411,Debit
8777,"Le, Knox and Lewis",small,Basic,Churned,28-05-2023,14-08-2025,1048,Debit
8021,Thompson-Bruce,medium,Enterprise,Churned,07-09-2021,16-09-2025,3065,Credit
3082,"Farley, Sandoval and Ware",large,Basic,Active,18-04-2011,,1349,Credit
1841,Escobar LLC,small,Pro,Active,19-07-2006,,3378,Credit
3783,Smith Ltd,large,Pro,Churned,14-03-2022,23-03-2025,381,Debit
5887,Moore PLC,small,Pro,Active,31-01-2021,,1629,Paypal
3774,Carpenter-Hicks,medium,Enterprise,Churned,09-06-2023,30-11-2025,2575,Paypal
8278,"Pratt, Franklin and Mendez",medium,Pro,Active,04-05-2006,,1897,Debit
3237,Rogers-Jackson,small,Enterprise,Churned,01-07-2010,14-09-2012,2801,Credit
4240,Bates Ltd,small,Pro,Churned,07-07-2015,20-03-2018,863,Paypal
4564,Rangel and Sons,medium,Enterprise,Churned,18-12-2013,06-04-2022,3847,Credit
6358,Stewart Ltd,medium,Basic,Active,15-05-2007,,57,Credit
3159,Hughes LLC,large,Pro,Active,11-03-2025,,1544,Debit
2803,Brown-Foster,medium,Enterprise,Churned,20-05-2006,23-10-2025,2078,Credit
7468,Rivera LLC,small,Pro,Active,07-10-2013,,1015,Credit
8793,"Estes, Woodward and Garcia",large,Basic,Churned,29-04-2019,15-12-2024,1946,Debit
6191,Adams Group,large,Pro,Active,05-03-2019,,3251,Credit
6928,"Smith, Powell and Huerta",medium,Basic,Churned,20-11-2020,03-12-2021,4399,Debit
6517,"Jackson, Solis and Petty",large,Enterprise,Churned,08-08-2008,25-04-2018,35,Credit
6971,"Meyer, Mills and Coleman",small,Enterprise,Active,11-05-2011,,1798,Debit
4823,"Shelton, Glenn and Rodriguez",small,Pro,Active,18-04-2016,,3885,Debit
445,Brown-Rivera,medium,Basic,Churned,17-12-2018,20-01-2023,2326,Paypal
1810,Perez-Simpson,small,Pro,Active,03-07-2011,,1642,Paypal
8126,"Hernandez, Lee and Foster",large,Basic,Active,28-08-2016,,3329,Paypal
3146,"Wagner, Keller and Koch",small,Basic,Active,24-05-2011,,190,Credit
3061,Moore PLC,large,Pro,Active,05-06-2011,,2158,Credit
7857,Johnson Ltd,large,Pro,Churned,01-09-2025,11-02-2026,2826,Debit
7410,Fox-Berry,small,Enterprise,Active,11-02-2026,,4838,Paypal
3919,"Turner, Martinez and Reed",large,Pro,Churned,09-01-2020,05-10-2021,4005,Paypal
9008,"Rodriguez, Wilson and Wilkins",medium,Pro,Active,04-07-2021,,3333,Paypal
4539,Pierce-Jones,large,Pro,Active,03-12-2014,,303,Paypal
7662,Wood-Weiss,large,Enterprise,Churned,17-06-2008,12-05-2022,906,Paypal
1283,Sanchez-Marshall,medium,Enterprise,Churned,15-12-2009,24-04-2016,4457,Paypal
7278,Stein and Sons,medium,Enterprise,Active,12-09-2014,,3803,Credit
5246,"Hart, Reed and Perkins",large,Pro,Active,02-05-2019,,3399,Paypal
4842,"Morse, Blair and Parker",small,Pro,Churned,27-07-2016,14-09-2020,1093,Paypal
3713,Humphrey Inc,large,Basic,Churned,13-09-2012,05-09-2014,2005,Credit
1473,Ortiz PLC,large,Enterprise,Active,05-01-2011,,2724,Paypal
3155,"Cantu, Ayala and Gray",large,Pro,Churned,10-12-2010,08-03-2011,611,Debit
4337,"Wilson, Holmes and Welch",medium,Pro,Churned,13-04-2015,13-05-2020,925,Debit
2841,Hansen-Cummings,large,Pro,Active,07-03-2008,,3684,Debit
8982,Mason Group,large,Basic,Churned,23-11-2006,29-06-2023,948,Debit
6211,Caldwell Ltd,small,Pro,Churned,15-09-2012,29-06-2023,1806,Debit
8120,Joseph-Potts,large,Enterprise,Active,18-06-2020,,3741,Paypal
6492,"Rodgers, Romero and Williams",small,Basic,Active,27-09-2007,,4076,Debit
7827,"Campos, Perez and Martinez",small,Pro,Churned,08-11-2010,07-10-2014,790,Paypal
9862,Sanchez-Perry,large,Enterprise,Churned,30-10-2018,05-09-2020,117,Debit
4252,Price-Mccall,large,Enterprise,Active,13-02-2013,,518,Debit
9789,"Russo, Bennett and Rodriguez",small,Pro,Churned,18-03-2022,15-02-2023,2478,Paypal
7007,"Wilson, Young and Johnson",small,Enterprise,Active,07-12-2014,,1444,Credit
9009,Tapia-Clark,medium,Basic,Active,06-10-2017,,2263,Debit
6335,"Smith, Mitchell and Benjamin",small,Enterprise,Active,17-04-2015,,4736,Debit
254,Boyd-Smith,large,Enterprise,Churned,08-03-2014,29-01-2023,2339,Debit
3953,Porter and Sons,medium,Basic,Active,15-10-2024,,3309,Paypal
3349,Conrad-Anderson,large,Basic,Active,05-11-2016,,1914,Debit
1253,Ballard-Zhang,large,Enterprise,Churned,03-03-2017,08-02-2022,3003,Debit
4844,Duncan-Harding,large,Basic,Churned,17-04-2023,17-06-2024,4180,Credit
7991,"Skinner, Savage and Daniel",large,Enterprise,Churned,06-06-2017,20-11-2023,1412,Paypal
7313,"Gaines, Smith and Rios",medium,Pro,Churned,03-09-2013,24-12-2016,3233,Paypal
8373,Davenport and Sons,large,Pro,Active,12-01-2014,,3191,Credit
