ticket_id,user_id,created_date,resolved_date,priority,category,status,resolution_time_hours
7853,2693,17-10-2023,,High,Bug,Open,
5911,6052,23-04-2024,31-08-2024,Critical,Bug,Resolved,3120
799,8933,20-10-2011,28-10-2025,Low,Bug,Closed,122928
2050,5374,24-09-2012,07-11-2014,High,Bug,Closed,18576
8922,1870,16-03-2021,,Low,Feature Request,In Progress,
7775,5402,21-06-2009,,High,Question,In Progress,
6088,9077,09-06-2020,,Critical,Account Issue,In Progress,
9306,8111,20-07-2012,29-02-2024,Medium,Question,Resolved,101784
607,7712,15-03-2011,30-08-2025,Critical,Bug,Closed,126768
298,7855,09-11-2015,25-08-2022,Low,Bug,Resolved,59544
8291,663,13-06-2024,23-07-2024,Critical,Feature Request,Resolved,960
1687,8813,27-02-2017,,Low,Feature Request,In Progress,
9439,8966,24-01-2009,30-06-2012,Low,Feature Request,Resolved,30072
9950,3819,14-06-2006,25-09-2012,Critical,Bug,Resolved,55080
5594,3888,21-02-2022,,Medium,Bug,Open,
651,9252,04-06-2018,09-12-2021,High,Question,Closed,30816
9407,7763,23-03-2024,,Low,Account Issue,Open,
8871,7128,21-03-2008,30-11-2021,Critical,Feature Request,Resolved,120048
1329,5753,02-03-2013,,Medium,Bug,In Progress,
2498,7509,22-03-2007,,Medium,Bug,Open,
5965,449,28-02-2017,28-03-2023,Low,Account Issue,Resolved,53256
359,1858,27-02-2025,07-11-2025,Medium,Question,Closed,6072
7956,3220,06-04-2009,16-08-2015,Critical,Account Issue,Resolved,55752
8549,8550,29-01-2012,05-07-2014,Low,Account Issue,Closed,21312
2479,290,05-04-2018,31-07-2020,Critical,Bug,Resolved,20352
458,1758,30-12-2022,25-09-2023,Critical,Feature Request,Closed,6456
9182,9603,10-05-2018,23-02-2024,High,Question,Resolved,50760
3674,8019,15-06-2023,16-04-2024,Low,Question,Closed,7344
2185,9274,12-06-2019,14-03-2025,Critical,Bug,Resolved,50448
6218,3178,05-08-2012,,Critical,Account Issue,Open,
9519,2460,19-08-2010,22-09-2019,Critical,Feature Request,Closed,79704
194,1999,26-07-2018,09-02-2021,Medium,Bug,Resolved,22296
930,4929,05-01-2013,,Medium,Account Issue,In Progress,
4014,8531,13-02-2025,,High,Feature Request,In Progress,
5773,5529,10-02-2021,,High,Question,In Progress,
6934,1371,06-08-2017,28-08-2017,Critical,Account Issue,Closed,528
6761,3819,07-05-2018,07-06-2021,Low,Question,Resolved,27048
2751,9891,26-11-2020,19-11-2024,Critical,Feature Request,Closed,34896
4268,1794,01-06-2017,,Medium,Feature Request,In Progress,
5336,8495,01-12-2014,03-12-2017,Low,Feature Request,Resolved,26352
6112,5273,30-12-2008,,Low,Bug,Open,
5677,7544,08-11-2006,,Low,Bug,In Progress,
7002,3181,24-07-2024,17-11-2025,Medium,Feature Request,Closed,11544
620,4172,06-01-2016,,Critical,Question,In Progress,
9478,2351,01-10-2018,,High,Account Issue,Open,
4947,7468,06-05-2007,,Low,Feature Request,Open,
2670,6744,27-07-2020,,Critical,Question,In Progress,
2667,4656,03-08-2019,,High,Bug,Open,
7994,5001,29-09-2014,,Medium,Question,In Progress,
3526,1003,25-11-2022,15-09-2024,High,Question,Closed,15840
2533,7322,10-03-2022,18-10-2024,High,Question,Closed,22872
2811,9635,20-01-2013,08-01-2019,Low,Bug,Resolved,52296
3893,3308,02-03-2008,,Medium,Account Issue,In Progress,
321,5010,09-06-2025,,Medium,Question,Open,
7749,8891,07-10-2009,,Medium,Question,Open,
9215,9153,27-02-2013,08-06-2016,Low,Question,Resolved,28728
2666,4458,04-02-2017,11-05-2018,Medium,Account Issue,Closed,11064
6249,605,28-07-2014,,Critical,Feature Request,In Progress,
1549,6658,01-02-2008,,Medium,Bug,Open,
6317,6759,24-06-2024,,Medium,Feature Request,In Progress,
5655,5339,23-06-2016,02-12-2021,Low,Feature Request,Resolved,47712
8550,597,09-05-2016,,Medium,Bug,Open,
8006,6448,23-01-2012,,Critical,Account Issue,Open,
4396,1564,28-02-2021,20-11-2024,High,Feature Request,Closed,32664
1159,7726,21-07-2006,,High,Question,In Progress,
9904,4744,23-12-2020,,Critical,Feature Request,In Progress,
9249,3491,09-02-2007,,Low,Bug,In Progress,
9661,8918,04-04-2014,31-10-2018,Low,Bug,Closed,40104
1683,9957,22-01-2020,17-12-2020,Low,Account Issue,Resolved,7920
6301,4224,21-04-2023,,Low,Bug,Open,
4979,6949,14-01-2022,26-04-2022,Low,Account Issue,Resolved,2448
4958,69,26-01-2007,,Low,Bug,In Progress,
5083,5113,03-10-2025,05-01-2026,Critical,Feature Request,Closed,2256
6852,3364,31-07-2019,,Critical,Question,In Progress,
4031,7713,04-11-2010,,High,Question,In Progress,
6220,9083,16-03-2012,,Medium,Feature Request,In Progress,
2751,2139,04-07-2012,26-04-2019,Critical,Account Issue,Closed,59688
2810,4448,25-09-2024,19-01-2025,High,Feature Request,Closed,2784
4282,5522,11-10-2019,01-05-2021,Medium,Bug,Closed,13632
1958,9609,13-02-2024,,Medium,Account Issue,In Progress,
5851,9096,12-10-2013,07-08-2015,Critical,Question,Closed,15936
3386,5407,26-10-2010,26-08-2020,Medium,Feature Request,Resolved,86208
6261,4060,07-11-2015,29-08-2023,High,Bug,Closed,68448
6674,6222,27-01-2012,15-01-2014,Medium,Bug,Closed,17256
4017,1477,15-04-2018,20-10-2019,Low,Bug,Closed,13272
2177,4226,07-03-2016,10-08-2017,Low,Bug,Closed,12504
4381,4111,24-08-2009,,Low,Account Issue,Open,
1840,3291,06-12-2018,27-02-2022,High,Account Issue,Closed,28296
3631,6259,19-09-2023,04-02-2024,Critical,Bug,Resolved,3312
2893,4611,12-12-2017,,High,Bug,In Progress,
2650,9256,22-09-2022,13-05-2023,Medium,Bug,Resolved,5592
3380,4555,22-11-2009,02-11-2016,Critical,Feature Request,Closed,60888
1257,9557,06-12-2023,,Low,Bug,In Progress,
3993,3206,15-09-2018,,Critical,Feature Request,In Progress,
8083,7653,25-11-2024,10-10-2025,Low,Question,Resolved,7656
1631,8804,05-10-2009,13-08-2020,Medium,Feature Request,Resolved,95160
4215,9592,12-03-2007,,High,Question,In Progress,
8290,2438,23-06-2009,05-07-2019,Low,Bug,Resolved,87936
1382,3149,02-08-2009,,Critical,Bug,In Progress,
2055,1162,22-12-2022,28-11-2024,Medium,Feature Request,Resolved,16968
5420,4785,15-10-2007,,Critical,Bug,Open,
8110,3713,13-05-2022,,High,Account Issue,Open,
2762,4095,23-07-2007,15-08-2017,Critical,Account Issue,Closed,88224
564,9017,20-10-2023,,High,Bug,Open,
5190,9740,14-09-2021,,High,Feature Request,In Progress,
9216,851,28-02-2021,24-11-2025,Low,Bug,Resolved,41520
727,7094,24-08-2016,20-05-2025,Critical,Feature Request,Resolved,76584
5552,1714,26-06-2012,,Low,Account Issue,In Progress,
5951,7265,13-08-2021,,Critical,Bug,Open,
6586,812,05-05-2016,,Medium,Feature Request,Open,
